486 students got an average of their 2 choice, while 14 students did not get any of their choices
Student Name, Student GPA, Project UUID, Project Title
JAMES WHITE, 2.78, 91bb8af5-1306-42d9-bedf-0ee93c37f486, Security analysis of playing rock music
CATHERINE PEREZ, 3.4, d6e0d923-0b47-4408-8211-31ee330660b3, Worshipping cthulu in designing modern buildings
ANNIE MURPHY, 3.37, 9d75121f-fd73-491c-9f7c-0528eaae4659, Security analysis of hitting home runs
NICOLE HOWARD, 3.18, dd95d419-34f0-4735-af8c-5405f4363bb6, Using rfid to improve chasing terrorists
FRED GREEN, 3.16, 57050823-815b-45ce-af92-08ee9f1ae6a9, Using rfid to improve singing melancholy songs
FRANK JACKSON, 3.26, 6275c40e-0080-4ba3-88b5-2cb35002cf7b, Security analysis of promoting Heliocentrism
LOUISE HOWARD, 2.09, 4010bc0e-3de7-4454-9413-7e1ff417704c, Security analysis of doing the Charleston
BRUCE ALLEN, 3.39, dcf734b1-28f0-45ed-9241-8e78215c6318, Using excel to analyse patterns in building giant walls
DAVID RODRIGUEZ, 3.66, 653ce2a3-afd1-44da-bca8-3d0297b1a46d, Using rfid to improve tracking down fugitives
SHIRLEY WALKER, 3.89, 99b478a7-26f1-40e5-bf8a-0e4483b25ba9, Using ai to streamline representing the disenfranchised
LINDA LEE, 2.12, f95f8378-3c64-4702-a3d3-3ab0843a0d57, Using rfid to improve punching out Nazis
JACK FLORES, 3.93, 5af1cf66-a1b1-4e6c-ad40-cf931ec5d0a1, Security analysis of exploring darkest Africa
JERRY COLLINS, 2.97, 0dc2f841-b350-4e84-a26f-6f836589bdca, Using excel to analyse patterns in winning cycling races
FLORENCE HERNANDEZ, 2.53, bdf9ce43-6989-49b4-aa26-bd7e526c0646, Using excel to analyse patterns in killing murderers
GEORGE ROBERTS, 3.36, 7d5d141d-43b5-4fb8-8cf5-906c88c7719f, Worshipping cthulu in starring in action movies
TERESA JAMES, 2.24, 8d01cc7d-6b89-4489-9f0a-6f0d9e842c83, Worshipping cthulu in campaigning for the senate
SHAWN RICHARDSON, 2.56, 9ca3d513-5eec-4582-adbd-2848c7429c94, View of dagon in making witty remarks
JENNIFER ADAMS, 3.45, 25fa6f64-7da2-4f4e-bb47-43541d197789, Using rfid to improve promoting Darwinism
DONNA ALEXANDER, 2.8, d265d34a-1836-4d1c-bd86-fbf778565c89, Using rfid to improve coasting on past glories
ADAM SIMMONS, 3.03, 859fd5e6-aeab-40d3-9e01-b5a221d56d5f, Using excel to analyse patterns in lecturing about climate change
MARY MARTIN, 2.74, 5cb2f43c-06d3-4476-943c-1a2841c430a2, Using rfid to improve representing the disenfranchised
DIANA ROGERS, 3.28, ca6ef4b0-8eea-4a57-981d-98dc694ffbe0, View of dagon in shouting in Hollywood movies
FRANCES HENDERSON, 2.08, 2ec23898-b556-439e-8634-1e7afe9a41d6, Using rfid to improve  launching foreign wars
ADAM TORRES, 3.43, c37cc401-39a3-4d9d-8af6-c4a6a33d462c, Using rfid to improve starring in action movies
NICHOLAS BELL, 3.84, aa8c9d75-f899-4dd8-bb9f-2b0b1a5086e6, Using excel to analyse patterns in avoiding growing old
ASHLEY WILSON, 3.83, 90287353-1c8f-4f7b-8560-727d3dc70f77, Using rfid to improve selling illegal alcohol
NATHAN BAILEY, 2.9, 41988aa4-2531-40dc-a9b6-b0b43e08887c, Worshipping cthulu in making dumb comedies
SHARON SMITH, 3.8, 278f0975-4f97-47e9-92ca-1a9a6daf2de4, Security analysis of having meltdowns in public
HENRY SMITH, 2.49, 74bc7a75-286e-4fd8-ab42-7ee203f002ca, Using excel to analyse patterns in dining with playboy princes
JANE HAYES, 3.43, b70c41f9-63de-4034-b5ca-05e98d2fde16, Worshipping cthulu in defending freedom
BEVERLY ROBINSON, 3.34, 2f0db37f-5283-454a-ad1c-785d3ec181d0, Using ai to streamline making dumb comedies
RODNEY PRICE, 3.63, 3a080264-8748-4aa0-9cf9-9beeb42f0fcc, Worshipping cthulu in writing short stories
DOROTHY BRYANT, 2.6, f35aa5f4-be19-46d0-992e-eae652c4523c, Security analysis of surviving in the 25th century
ALBERT ALEXANDER, 3.29, 90cde2ad-dcaf-4a74-bbe4-83c5071f0a76, Using excel to analyse patterns in playing James Bond
VICTORIA JENKINS, 3.71, e686bf3e-963a-445d-b809-94bd1c9e765b, Using ai to streamline writing about social problems
ERNEST RICHARDSON, 2.78, 4f22a222-d893-4468-8c51-0569a42f165e, Using rfid to improve waxing a surfboard
NICOLE WHITE, 3.79, 91bb8af5-1306-42d9-bedf-0ee93c37f486, Security analysis of playing rock music
SARA FLORES, 3.98, d825d208-e81c-4579-a4b0-1f70c073a157, Security analysis of playing grungy music
